333.0,3.0,0.0,6.0,4.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,13.0,2.0,5.0,5.0,0.0,16.0,1.0,5.0,0.0,5.0,0.0,7.0
0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,464.0,14.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,0.0,3.0,20.0,1.0,4.0,30.0,2.0,1.0,5.0,0.0,5.0
15.0,0.0,10.0,764.0,8.0,0.0,4.0,5.0,7.0,11.0,3.0,16.0,26.0,1.0,7.0,34.0,2.0,8.0,8.0,9.0,3.0,5.0,0.0,5.0
1.0,0.0,7.0,14.0,3416.0,24.0,68.0,5.0,27.0,1.0,16.0,0.0,20.0,1.0,9.0,30.0,0.0,2.0,22.0,12.0,4.0,3.0,20.0,6.0
0.0,0.0,0.0,0.0,21.0,263.0,9.0,0.0,7.0,0.0,42.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0
0.0,0.0,1.0,1.0,68.0,14.0,926.0,2.0,58.0,2.0,8.0,1.0,19.0,0.0,3.0,14.0,0.0,1.0,0.0,3.0,0.0,0.0,10.0,10.0
2.0,0.0,0.0,2.0,7.0,0.0,1.0,123.0,7.0,0.0,0.0,4.0,14.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0
4.0,14.0,2.0,2.0,12.0,4.0,31.0,0.0,1016.0,2.0,6.0,4.0,28.0,5.0,7.0,43.0,0.0,1.0,4.0,1.0,0.0,1.0,8.0,18.0
3.0,0.0,1.0,10.0,2.0,0.0,1.0,1.0,0.0,379.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,44.0,0.0,0.0,0.0,8.0,0.0,3.0
0.0,1.0,0.0,2.0,4.0,22.0,4.0,1.0,1.0,0.0,127.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,0.0,1.0,18.0,8.0,0.0,3.0,8.0,2.0,3.0,3.0,487.0,39.0,2.0,7.0,8.0,16.0,12.0,0.0,8.0,2.0,14.0,0.0,17.0
24.0,3.0,7.0,20.0,16.0,3.0,14.0,13.0,24.0,9.0,12.0,50.0,2937.0,7.0,25.0,52.0,10.0,51.0,3.0,6.0,6.0,23.0,3.0,43.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,105.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,6.0
7.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,15.0,1.0,128.0,7.0,1.0,2.0,0.0,2.0,0.0,10.0,0.0,12.0
3.0,1.0,7.0,25.0,20.0,0.0,15.0,2.0,18.0,4.0,0.0,9.0,23.0,4.0,10.0,845.0,1.0,7.0,5.0,14.0,3.0,4.0,3.0,23.0
1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,1.0,0.0,0.0,3.0,73.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0
13.0,0.0,3.0,14.0,3.0,0.0,1.0,1.0,1.0,61.0,2.0,17.0,19.0,1.0,2.0,11.0,10.0,1421.0,0.0,7.0,0.0,14.0,0.0,14.0
1.0,0.0,22.0,6.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,4.0,415.0,2.0,0.0,1.0,0.0,0.0
4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,13.0,0.0,2.0,0.0,47.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0
28.0,0.0,9.0,9.0,5.0,0.0,0.0,2.0,3.0,16.0,2.0,15.0,34.0,4.0,30.0,7.0,3.0,21.0,2.0,2.0,1.0,475.0,1.0,29.0
0.0,0.0,0.0,2.0,14.0,10.0,19.0,2.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,357.0,2.0
12.0,3.0,1.0,2.0,2.0,0.0,6.0,2.0,13.0,4.0,0.0,16.0,57.0,7.0,20.0,21.0,5.0,15.0,1.0,2.0,0.0,13.0,1.0,911.0
